%,persen
nginjek,menginjak
ngintilin,mengintil
ngintip,mengintip
ngira,mengira
ngiri,iri
ngiriii,mengiri
ngirim,mengirim
ngiringan,mengiringi
ngiritya,mengiritnya
ngisi,isi
ngisiin,mengisikan
ngitem,menghitam
ngitung,hitung
ngk,enggak
ngkkkkkk,mengakak
ngkritik,mengkritik
nglamar,melamar
nglanjutin,melanjutkan
ngliat,melihat
nglibasnya,melibasnya
ngmg,bicara
ngmgin,mengomongkan
ngmng,bicara
ngmngin,mengomongkan
ngmngnya,mengomongnya
ngmong,bicara
ngobrol,mengobrol
ngobrolin,bicara
ngoceh,bicara
ngocok,mengocok
ngocol,lucu
ngolokin,mengolok
ngom,mengomong
ngomen,mengomentari
ngomenin,mengomentari
ngomentarin,mengomentari
ngomentnya,mengomentarinya
ngomingin,bicara
ngomng,mengomong
ngomomg,mengomong
ngomong,bicara
"ngomong""",ngomong ngomong
ngomongin,membicarakan
ngomongny,bicaranya
ngomongnya,mengomongnya
ngopo,mengapa
ngorbanin,mengorbankan
ngotot,ingin
ngp,mengapa
ngr,negara
ngra,negara
ngramein,meramaikan
ngrasain,merasai
ngrebut,merebut
ngrecoki,merecoki
ngri,negeri
ngriii,mengiri
ngritik,kritik
ngrti,mengerti
ngrugiin,merugi
ngrusak,merusak
ngrusin,mengurusi
ngtain,mengatai
ngtif,negatif
ngtwit,ngetweet
ngubek2,mencari cari
nguburin,menguburkan
ngucapin,mengucapkan
ngucur,mengalir
ngulangin,mengulangi
ngumbar,mengumbar
ngumbar2,mengumbar umbar
ngumpat2,mengumpat ngumpat
ngumpet,sembunyi
"ngumpet""",mengumpet ngumpet
ngumpul,berkumpul
ngumung,mengomong
ngundang,mengundang
ngungkit2,mengungkit ungkit
ngungsi,mengungsi
nguntungin,menguntungkan
ngurus,mengurus
ngurusan,mengurusi
ngurusi,mengurus
ngurusin,mengurus
ngustad,ustadz
ngutang,hutang
ngutarakan,mengutarakan
nh,ini
nha,ini
ni,ini
niatin,niatkan
nice,bagus
nich,ini
nie,ini
niech,nih
nieh,ini
nih,ini
nih2,nih nih
nihh,ini
nihhh,ini
nii,ini
niih,nih
niihh,nih
niiih,nih
niiihh,nih
niiiihh,nih
nikaah,nikah
nikahin,menikahi
nikmatin,menikmati
nilai2,nilai nilai
ni'mat,nikmat
nimbrung,ikut serta
nimpuk,menimpuk
ninggalin,meninggalkan
ninggiin,meninggikan
nipu,tipu
niru,meniru
nitizen,netizen
niyh,nih
niyyyyhhhh,nih
njay,anjay
njayyy,anjay
njelasin,menjelaskan
njelekin,menjelekkan
njenengan,anda
njerr,anjir
njiirr,anjir
njing,anjing
njir,anjir
njirr,anjir
njirrr,anjir
njrittt,anjir
nk,mau
nkah,nikah
nkri,negara kesatuan republik indonesia
nm,nama
nma,nama
nmanya,namanya
nmbah,bertambah
nmbk,menembak
nmenarik,menarik
nmn,namun
nmnya,namanya
nmpk,nampak
nmr,nomor
nnt,nanti
nnti,nanti
nntn,tonton
nnton,tonton
nnurutmu,menurutmu
no,nomor
nobar,tonton bersama
noh,ini
nolongin,menolong
nomer,nomor
non blok,nonblok
non indonesia2,non indonesia
nongkrong,kumpul kumpul
nongol,muncul
nonton,tonton
nontonn,tonton
nontonnin,menontonkan
nontonnnn,tonton
nontonny,tontonan
nontonx,tonton
nontonya,tontonan
nontoonnn,tonton
nopember,november
normalin,normalkan
not,tidak
nothing,tidak ada
notification,pemberitahuan
novembr,november
now,sekarang
nowww,now
np,kenapa
nraktir,mentraktir
nrka,neraka
nrocos,cerewet
nrp,narapidana
nt,nanti
ntab,mantab
ntaf,mantap
ntah,entah
ntahlah,entahlah
ntap,mantap
ntappp,mantap
ntaps,mantap
ntapsss,mantap
ntar,entar
nti,nanti
ntik,cantik
ntikk,cantik
ntn,tonton
nton,tonton
ntot,ngentot
ntr,entar
ntu,itu
ntuk,untuk
nuduh,menuduh
nuhun,kasih
nulis,menulis
numpuk,bertumpuk
nunduk,menunduk
nunggu,menunggu
nungguin,menunggu
nunjukin,menunjukkan
nunjukkin,menunjukkan
nuntut,menuntut
nurunin,nurunkan
nusuk,menusuk
"nutup""in",menutup nutupi
nutupin,menutupi
ny,nya
nyaa,nya
nyaaa,nya
nyaaaa,nya
nyaaaaaaa,nya
nyaaaaaaaaa,nya
nyaaaaaaaaaaaaa,nya
nyaci,mencaci
nyadar,menyadar
nyah,nya
nyaingin,saing
nyainginnya,bersaing
nyakitin,menyakiti
nyalahin,menyalahkan
nyalahken,menyalahkan
nyalahn,nyalahkan
nyalain,nyalahkan
nyamain,menyamakan
nyamar,menyamar
nyamber,komentar
nyambet,menyambat
nyambung,menyambung
nyambungin,menyambung
nyampah,membuat sampah
nyampe,sampai
nyampein,menyampaikan
nyampek,sampai
nyampenya,sampainya
nyamperin,menghampiri
nyang,yang
nyangka,menyangka
nyangkaa,menyangka
nyangkutnya,menyangkutnya
nyante,santai
nyanyiin,menyanyi
nyaranin,menyarani
nyari,mencari
nyariin,mencari
nyaru,menyaru
nyasar,tersesat
nyatakan,menyatakan
nyatok,mencatok
nyautin,jawab
nye,nya
nyebabin,menyebabkan
nyebar,menyebarkan
nyebarin,menyebarkan
nyebelin,menyebalkan
nyebur,mencebur
nyebut2,menyebut nyebut
nyebutin,menyebutkan
nyekar,menyekar
nyela,cela
nyelesaiin,menyelesaikan
nyelesain,menyelesaikan
nyeloteh,nyinyir
nyembah,sembah
nyembunyiin,menyembunyikan
nyemot,ambil
nyempetin,menyempatkan
nyender,menyandar
nyenengin,menyenangkan
nyengir,menyengir
nyengol,menyenggol
nyeniii,menyeni
nyeplak,menjiplak
nyerang,menyerang
nyerocooooos,mencerocos
nyerocos,mencerocos
nyesal,menyesal
nyesek,menyesak
nyesel,menyesal
nyesell,menyesal
nyeselllll,menyesal
nyet,monyet
nyia2in,menyia nyiakan
nyiapin,mempersiapkan
nyiarin,nyiarkan
nyicil,mencicil
nyikapin,menyikapi
nyimak,menyimak
nyimpen,menyimpan
nyindir,menyindir
nyindirin,menyindir
nyinyirin,nyinyir
nyir2,nyinyir
nyiram,menyiram
nyiyir,cerewet
nyo,nya
nyoba,mencoba
nyobain,mencoba
nyoblos,mencoblos
nyok,ayo
nyokap,ibu
nyolong,maling
nyolot,menyolot
nyolotinnnn,menyolot
nyta,nyata
nyubit,mencubit
nyubitt,mencubit
nyulik,menculik
nyumpet,sembunyi
nyungsep,jatuh
nyungsepkan,jatuhkan
nyungseppp,jatuh
nyupir,menyopir
nyurangi,mencurangi
nyuri,mencuri
nyusahhin,menyusahkan
nyusahin,menyusahkan
nyusahkan,menyusahkan
nyusul,menyusul
nywa,nyawa
o,oleh
o/,oleh
oalaaaa,walah
oalah,aduh
obrak-abrik,ubrak abrik
obyek,objek
obyektif,objektif
ocehin,ocehkan
official,resmi
ofline,offline
ogah,enggan
ogut,saya
ohh,oh
ohhh,oh
ohhhh,oh
ojol,ojek online
ok,ok
okay,oke
okt,oktober
ol,online
olah raga,olahraga
oles2,oles oles
olh,oleh
olok,ejek
olokan,ejekan
olokn,ejekan
olshop,toko online
oma2,oma oma
omaaaaaaakk,oma
omdo,omong doang
omongin,mengomongkan
omset,omzet
on,tepat
on hand, di tangan
ongkiir,ongkir
ongkir,ongkos kirim
ongkirr,ongkir
onlen,online
onlineslot,slot online
onlinnya,onlinenya
onllen,online
ono,sana
ono,ada
onoh,sono
onta,unta
ooh,oh
oom,om
oon,bodoh
oonnya,bodohnya
oooh,oh
oot,out of topic
oplas,operasi plastik
oplosan,oposisi
opm,organisasi papua merdeka
opo,apa
opo,apa
oposan,oposisi
oposannya,oposisinya
oprasi,operasi
oprasiya,operasinya
optmis,optimis
or,atau
ora,tidak
ora,tidak
ora percoyo,tidak percaya
orabg,orang
"orang""",orang orang
"orang""nya",orang orangnya
orang2,orang orang
orange,oranye
orangg,orang
orangnyaa,orangnya
orangtua,orang tua
orba,orde baru
order,pemesanan
org,orang
org2,orang orang
orgny,orangnya
orgtu,orang tua
orgtuanya,orang tuanya
ori,orisinal
original,asli
orijinal,orisinal
orijinil,orisinal
orisinal,asli
orisinil,asli
orkes,olahraga dan kesehatan
orla,orde lama
orlaen,orang lain
ormas,organisasi masyarakat
orng,orang
orngnya,orangnya
orrunya,orang tuanya
orthografi,ortografi
ortnya,orang tuanya
ortu,orang tua
ortuny,orang tuanya
ortunya,orang tuanya
ospek,orientasi studi dan pengenalan kampus
otakx,otaknya
otda,otonomi daerah
otoped,otopet
otot2,otot otot
otre,ok
ott,operasi tangkap tangan
otw,on the way
our,kami
out,keluar
overal,secara keseluruhan
overall,secara keseluruhan
owalaah,walah
owh,oh
owi,jokowi
oye,oke
p,bapak
pa,apa
pa2,apa apa
paaaaak,bapak
paaak,pak
paati,pasti
pacal,pacar
pacara,pacaran
pacarane,pacarannya
pacaranya,pacarannya
pacarn,pacaran
pacarnyaa,pacarnya
pacarr,pacar
pacarrr,pacar
packing,pengemasan
pada hal,padahal
padahall,padahal
padahl,padahal
pade,om
padet,padat
padetan,padatan
padhe,pakde
padhl,padahal
padli,fadli
pahalax,pahalanya
pahamin,memahami
pahamkaaan,pahamkan
pahe,paket hemat
pahm,paham
pait,pahit
pak,bapak
pakbos,pak boss
pakde,pakdhe
pake,pakai
pakek,pakai
paking,packing
pakk,bapak
pakke,pakai
pakkkk,pak
pakpol,pak polisi
paksain,memaksa
pakta,fakta
pala,kepala
palalu,kepalamu
palbis,paling bisa
paleng,sakit kepala
palgi,apalagi
palinf,paling
palingann,palingan
pamain,pemain
pan,kapan
panca indra,pancaindra
panca sila,pancasila
pandanginya,memandanginya
panggilan'y,panggilannya
panggilan'ya,panggilannya
panglingg,pangling
panja,panitia kerja
panjenengan,anda
panjudi,judi
pankapan,kapan kapan
pans,fan
pansus,panitia khusus
pantes,pantas
pantesan,pantas
pantess,pantas
pantura,pantai utara
panutan,anutan
pap,kirim gambar
papahhhnya,papahnya
papat,empat
papiii,papi
para2,parah parah
paraa,para
paraaaaah,parah
paraaah,parah
paraah,parah
parahh,parah
parahhh,parah
parama sastra,paramasastra
paranoid,takut
pararel,paralel
paripurnahh,paripurna
parlamen,parlemen
parlimen,parlemen
parno,takut
parpol,partai
parsis,persis
parte,partai
pas2an,pas pasan
pasangn,pasangan
pasca panen,pascapanen
"pasien""nya",pasien pasiennya
pasip,pasif
pasiv,pasif
paska,pasca
pasport,paspor
pass,pas
passs,pas
past,pasti
pastii,pasti
pastur,pastor
pasutri,pasangan suami istri
patas,cepat dan terbatas
pathogen,patogen
patneran,partner
payahh,payah
payltr,paylater
pcar,pacar
pcaran,pacaran
pcaranya,pacarannya
pcarny,pacarnya
pcr,pacar
pcran,pacaran
pcrn,pacaran
pcrnya,pacarnya
pcs,buah
pd,pada
pda,pada
pdahal,padahal
pdhal,padahal
pdhall,padahal
pdhl,padahal
pdkg,pendukung
pdkt,pendekatan
pdng,padang
pduli,peduli
pebruari,februari
pecahhg,pecah
pecaya,percaya
pedahal,padahal
pedasssss,pedas
pede,percaya diri
pedes,pedas
pedesssss,pedas
pedo,pedofil
pedofilia,pedofil
pedopil,pedofil
pedopilia,pedofil
peduliin,mempedulikan
pedulilaaaah,pedulilah
peemain,pemain
peen,pengin
peengn,pengin
pegang2,pegang pegang
pegangin,memegang
pegawe,pegawai
pekaes,pks
peking,pengemasan
pekok,bodoh
pekrja,pekerja
pelacuryg,pelacur yang
pelangganx,pelanggannya
pelanggaranx,pelanggaranya
pelastik,plastik
pelatda,pemusatan latihan daerah
pelatnas,pemusatan latihan nasional
pelem,film
peleotin,meleot
peliharaaaa,pelihara
pelwak,pelawak
pem,pemerintahan
pemabok,pemabuk
pemainkasino,pemain casino
pemainy,pemainnya
pemainya,pemainnya
pemake,pemakai
pemb,pembangunan
pembisikny,pembisiknya
pembngunan,pembangunan
pembngunny,pembangunannya
pembnuh,pembunuh
pembokat,pembantu
pembrdayaan,pemberdayaan
pemda,pemerintah daerah
pemenangnyaa,pemenangnya
pemgacau,pengacau
pemilihanny,pemilihannya
pemilu,pemilihan umum
peminpin,pemimpin
pemkot,pemerintah kota
pemprov,pemerintah provinsi
pempus,pemerintah pusat
pemred,pemimpin redaksi
pemrentah,pemerintah
pemrintahan,pemerintahan
pemrinthan,pemerintahan
pemrnth,pemerintahan
pemwrintah,pemerintah
pen,pengin
penangkapn,penangkapan
penantangny,penantangnya
penasaraaann,penasaran
penasarannnn,penasaran
penasarn,penasaran
penbelian,pembelian
pencaoaian,pencapaian
penertiban,tertib
pengalam,pengalaman
pengan,pengin
penganten,pengantin
pengeeenn,pengin
pengemar,penggemar
pengen,ingin
pengenn,pengin
pengenne,pengennya
pengennn,pengin
pengennnn,pengin
penghrgaan,penghargaan
pengibulan,pembohong
pengikuy,pengikut
pengkibulan,pembohongan
pengn,pengin
pengreditan,pengkreditan
pengrusak,perusak
penjas,pendidikan jasmani
penjudinya,pejudi
penmas,pendidikan masyarakat
pensaran,penasaran
pentass,pentas
pentingg,penting
penyakitny,penyakitnya
penyanyi2,penyanyi penyanyi
penyebab2,penyebab penyebab
penyeludupan,penyelendupan
penyerhn,penyerahan
peragain,peragakan
perajurit,prajurit
peramugari,pramugari
perangi,memerangi
perasaanny,perasaannya
perbaikin,memperbaiki
perbhan,perubahan
perbulannn,perbulan
percy,percaya
percya,percaya
percyakan,percayakan
perda,peraturan daerah
perdgangan,perdagangan
perduli,peduli
perek,wanita tuna susila
peres,palsu
perfect,sempurna
performance,performa
perhatiam,perhatian
perhatiin,perhatikan
perhtian,perhatian
peri laku,perilaku
peribumi,pribumi
perikeadilan1,peri keadilan
perilakuny,perilakunya
period,periode
perjabatt,pejabat
perjudiaan,perjudian
perjudianya,perjudian
perjudihan,perjudian
perlahan2,perlahan lahan
perlihatkn,perlihatkan
permainain,permainan
permainan,game
permainanan,permainan
permasalhkan,permasalahkan
perna,pernah
pernh,pernah
pernikahn,pernikahan
perobahan,perubahan
perongrong,pengganggu
persolan,persoalan
personil,personel
personill,personil
perstasi,prestasi
pertahanin,pertahankan
pertamany,pertamanya
pertamax,pertama
pertanggungjawab,pertanggung jawaban
pertma,pertama
pertum,pertumbuhan
perubut,perebut
perwkonomian,perekonomian
pesaat,pesat
pesbuk,facebook
pesen,pesan
pesenan,pesanan
pesenin,pesankan
petay,petai
petinggi2,petinggi petinggi
pfof,professor
pg,pagi
pgang,pegang
pgen,pengin
pgg,pegang
pgganyangan,pengganyangan
pgi,pagi
pgin,pengin
pgn,ingin
pgnnya,penginnya
pharaman,haram
phm,paham
photo,foto
photokopi,fotokopi
php,pemberi harapan palsu
pi,tapi
piara,pelihara
piawa,pandai
pict,gambar
picture,gambar
pidio,video
piiiilih,pilih
piiink,pink
pijetin,pijitkan
"pikir""",pikir pikir
pilihannny,pilihannya
pilihnmu,pilihanmu
pilkada,pemilihan daerah
pilm,film
pilpres,pemilihan presiden
pimpro,pemimpin proyek
pinalti,penalti
pindahin,pindahkan
pingin,ingin
pinginnn,pengin
pinkkkk,pink
pinsil,pensil
pinter,pintar
pinternya,pintarnya
pintr,pintar
pipine,pipinya
pipinyaaa,pipinya
pipi'y,pipinya
piq,babi
piranti,peranti
pisan,sangat
pisgor,pisang goreng
pisik,fisik
pisimis,pesimis
piye,bagaimana
piye,bagaimana
pjabat,pejabat
pjalanan,perjalanan
pjang,pajang
pjbat,pejabat
pjg,panjang
pjk,pajak
pk,bapak
pkai,pakai
pkde,bapak
pke,pakai
pkee,pakai
pkek,pakai
pkk,pakai
pkok,pokok
pkoknya,pokoknya
pkoknyaa,pokoknya
pkrin,pikirkan
pkrj,pekerja
pkrja,pekerja
pks,partai keadilan sejahtera
pla,pula
plampiasannn,pelampiasan
plasa,plaza
please,tolong
plening,rencana
plesiden,presiden
plg,paling
plgi,apalagi
plh,pilih
pling,paling
plis,mohon
pliss,tolong
pljaran,pelajaran
pljran,pelajaran
pljrn,pelajaran
plng,paling
pls,tolong
plsa,pulsa
pluk,peluk
pm,private message
pmahaman,pemahaman
pmbagian,pembagian
pmbangunan,pembangunan
pmbantu,pembantu
pmbelajaran,pembelajaran
pmbngnan,pembangunan
pmbngunan,pembangunan
pmbyran,pembayaran
pmerintah,pemerintah
pmrintah,pmrintah
pmrintahan,pemerintahan
pmrntah,pemerintah
pmrnth,pemerintahan
pmrnthn,pemerintahan
pmrth,pemerintah
pmrthan,pemerintahan
pndah,pindah
pndang,pandang
pndapat,pendapat
pnderitaan,penderitaan
pndkung,pendukung
pndpatan,pendapatan
pndpt,pendapat
pndukung,pendukung
pnegakan,penegakan
pnenggelaman,penenggelaman
pngajian,pengajian
pngen,ingin
pngenn,pengin
pnghargaan,penghargaan
pngin,ingin
pngn,pengin
pngorbanan,pengorbanan
pngusaha,pengusah
pnh,pernah
pnjang,panjang
pnjara,penjara
pnjerumus,penjerumus
pnjng,panjang
pnjual,penjual
pntg,penting
pnting,penting
pntr,pintar
pnuh,penuh
pny,punya
pnya,punya
pnyaa,punya
pnyebab,penyebab
pnyebabnya,penyebabnya
pnyesuaia,penyesuaian
pobus,politik busuk
poko,pokok
pokoe,pokoknya
pokok'a,pokoknya
pokoke,pokoknya
pokomen,pokoknya
pokonya,pokoknya
polantas,polisi lalu lintas
polapikir,pola pikir
polaslot,pola slot
polbus,politik busuk
polici,polisi
poling,polling
polis,polisi
politi,polisi
polll,pol
pollll,pol
polow,follow
polower,follower
polwan,polisi wanita
ponakn,ponakan
pondasi,fondasi
ponpes,pondok pesantren
ponsel,telepon seluler
poollll,pol
poool,pol
poooolllll,pol
popular,populer
positip,positif
positippp,positif
positiv,positif
positive,positif
postif,positif
power,tenaga
powerful,bertenaga
pp,pulang pergi
ppa,apa
pr,para
prabs,prabowo
praktek,praktik
praktekin,mempraktikkan
prancis,perancis
prasaan,perasaan
prawatan,perawatan
prbanyak,perbanyak
prbndngan,perbandingan
prbnyak,perbanyak
prcakapan,percakapan
prcaya,percaya
prcuma,percuma
prcy,percaya
prcya,percaya
prdamaian,perdamaian
prde,periode
preaiden,presiden
preett,kampret
prempuan,perempuan
pres,presiden
presd,presiden
preseden,teladan
presh,segar
president,presiden
presidenx,presidenya
prestasiny,prestasinya
prg,pergi
prh,parah
prhatian,perhatian
prhatikan,perhatikan
prikitiw,cie
priksa,periksa
prilaku,perilaku
prinadi,pribadi
priode,periode
prjuangan,perjuangan
prjudian,perjudian
prl,perlu
prlu,perlu
prmainan,permainan
prmainn,permainan
prmasalahan,permasalahan
prmintaan,permintaan
prmpuan,perempuan
prnah,pernah
prng,perang
prnh,pernah
prntyaan,pertanyaan
prnyataan,pernyataan
prnytaan,pernyataan
pro,profesional
problem,masalah
problema,masalah
prodac,produk
prodak,produk
prodaknya,produknya
prodem,pro demokrasi
product,produk
produktifitas,produktivitas
produktip,produktif
produktiv,produktif
prof,profesr
proffesor,profesor
prog,program
programx,programnya
proide,periode
proitusi,prostitusi
projek,proyek
projo,pro jokowi
proklamir,proklamasi
promil,program hamil
promoo,promo
promosiin,promosikan
promosikeun,promosikan
propinsi,provinsi
prosen,persen
prosentase,presentase
prostotusi,prostitusi
protestin,protestan
prototype,contoh
prov,provinsi
prsatukn,persatukan
prsden,presiden
prsh,perusahaan
prsiden,presiden
prtama,pertama
prtamax,pertamanya
prubahan,perubahan
prusahaan,perusahaan
prwatn,perawatan
prwtn,perawatan
ps,pas
psal,pasal
psangan,pasangan
psen,pesan
psgn,pasangan
psl,pasal
psn,pesan
pst,pasti
psti,pasti
pswt,pesawat
ptateknya,prakteknya
ptestasi,prestasi
pu,punya
puanas,panas
puanjang,panjang
pucing,pusing
puki,memek
pukimak,memeknya
pukinya,memeknya
pukulin,pukuli
pulaa,pula
pulak,pula
pulgar,kasar
pulici,polisi
pulisi,polisi
pundasi,pondasi
punggawa,penggawa
pungkir,mungkir
punn,pun
punyaaa,punya
punyak,punya
pura2,pura pura
pusingggg,pusing
puspa warna,puspawarna
puter,putar
putera,putra
puteri,putri
putihh,putih
putihnyaa,putihnya
puyeng,pusing
pw,posisi nyaman
px,punya
py,punya
pyudara,payudara
q,aku
qaqaaaa,kakak
qm,kamu
qmo,kamu
qmu,kamu
qo,kok
qt,kita
qta,kita
qu,ku
quality,kualitas
ra,tidak
rada,agak
radak,agak
radicalism,radikalisme
radio aktif,radioaktif
rahmarah,marah
raisopopo,tidak bisa apa apa
raissso,rais
rajin2,rajin rajin
raka'at,rakaat
rakayat,rakyat
rakhmat,rahmat
rakjat,rakyat
rakor,rapat koordinasi
raky,rakyat
rakyatny,rakyatnya
rakyt,rakyat
ramadan,ramadhan
ramadhan,ramadan
ramadhon,ramadan
ramdhan,ramadhan
rame,ramai
rame2,rame rame
rana,ranah
rangorang,orang orang
ranmor,kendaraan bermotor
rapet,rapat
rapih,rapi
rapot,rapor
rasaiin,rasai
rasain,merasai
rasakn,rasakan
rasax,rasanya
raskin,rakyat miskin
rasmikan,resmikan
rata2,rata rata
rb,ribu
rbu,ribu
re,reply
ready,siap
real,nyata
realita,realitas
realitany,realitanya
realiti,realitas
rebo,rabu
recoki,gaduh
recokin,gaduh
recomen,direkomendasikan
recomendasinya,rekomendasinya
recomended,direkomendasikan
recommend,direkomendasikan
recommendasi,rekomendasi
recommended,direkomendasikan
red,redaksi
redho,ridho
ref,referensi
refund,pengembalian dana
reg,register
rehab,rehabilitasi
rejeki,rezeki
rejim,rezim
reklamuk,reklamasi
rekomendain,rekomendasikan
rekomendasiiin,merekomendasikan
rekomendasiin,merekomendasikan
rekomended,direkomendasikan
rekomndd,rekomendasi
relaaaa,rela
relawanantijudol,relawan anti judi online
religion,agama
remang2,remang remang
rempong,repot
rendy,siap
renstra,rencana strategis
renumerasi,remunerasi
repong,repot
repot2,repot repot
repp,balas
resek,rizieq
resiko,risiko
resim,rezim
reskrim,reserse kriminal
respect,hormat
respek,hormat
respons,respon
response,respon
restik,reserse narkotika
retsleting,ritsleting
review,ulasan
rezek,rieziq
rezeqinya,rezekinya
rezki,rezeki
rhs,rahasia
ri,republik indonesia
ribaaa,riba
ributin,meributkan
ridzik,rizieq
rights,benar
riil,real
rijik,rizieq
rileks,relaks
rileksasi,relaksasi
rilll,real
rinduuuuuuu,rindu
rinduuuuuuuuu,rindu
rinduuuuuuuuuu,rindu
riski,rezeki
ritwitt,retweet
rizik,rizieq
rizki,rezeki
rizqi,rezeki
rja,raja
rkayat,rakyat
rky,rakyat
rkyat,rakyat
rkyt,rakyat
rmbt,rambut
rmbut,rambut
rmbutnya,rambutnya
rmbuut,rambut
rmh,rumah
rnkp,rangkap
rocker,voucher
rofl,rolling on the floor laughing
romadhon,ramadhan
romantisny,romatisnya
romantiss,romantis
romantiz,romantis
romntis,romantis
romo,promo
rotfl,tertawa
rp,rupiah
rpt2,repot repot
rrzim,rezim
ru,baru
rubah,ubah
rubahnn,rubah
rubuh,roboh
rudal,peluru kendali
ruet,ribut
ruko,rumah toko
rumahh,rumah
rumh,rumah
rumpiin,rumpi
rungkadan,rungkad
rungkadd,rungkad
rungkadnya,rungkad
rungkat,rungkad
runkad,rungkad
rupa2nya,rupa rupanya
rupiahny,rupiahnya
rusakkk,rusak
rusun,rumah susun
rusunawa,rumah susun sewa
rutan,rumah tahanan
ruz,terus
s,setuju
s*inetr*n,sinetron
s3ndiri,sendiri
s4,sempat
saaaangat,sangat
saat2,saat saat
saayyyyy,say
sabaarrr,sabar
sabal,sabar
sabaro,sabar
sabarr,sabar
sabarrr,sabar
sabarrrrr,sabar
sabeb,bebas
sadaar,sadar
sadis2,sadis sadis
sahabatt,sahabat
saia,saya
saiank,sayang
saiyah,saya
sakin,semakin
salaam,salam
salagi,selagi
salahin,salahkan
salammmm,salam
salehah,salihah
salfok,salah fokus
salh,salah
salluutt,salut
salting,salah tingkah
saltum,salah kostum
saltummmm,salah kostum
salut,hebat
sam,sama
"sama""",sama sama
sama2,sama sama
samaa,sama
samaaaa,sama
samain,samakan
samara,sakinah mawadah rahman
samoga,semoga
sampai2,sampai sampai
sampay,sampai
sampe,sampai
sampean,kamu
sampein,sampaikan
sampek,sampai
sampeyan,anda
sampis,sampah habis
sampw,sampai
samsek,sama sekali
samudera,samudra
sanasini,sana sini
sangaaattt,sangat
sangat2,sangat sangat
sangattt,sangat
sangattttttt,sangat
sanggat,sangat
sangt,sangat
sanhat,sangat
sansekerta,sanskerta
santab,santap
saos,saus
sapa,siapa
sapa2,sapa sapa
sapapun,siapapun
sapose,siapa
sapta krida,saptakrida
sapta pesona,saptapesona
saptu,sabtu
sapu tangan,saputangan
saranin,menyarankan
sarap,saraf
sari pati,saripati
sasama,sesama
sastera,sastra
sastra marga,sastramarga
satkorlak,satuan koordinator pelaksana
satpam,satuan pengamanan
satria,kesatria
sattt,bangsat
satupunn,satupun
satuu,satu
satuuuuu,satu
satux,satunya
saty2nya,satu satunya
saudra,saudara
say,sayang
saya2,saya saya
sayaa,saya
sayaang,sayang
sayah,saya
sayan,sayang
sayangg'',sayang sayang
sayanggg,sayang
sayangggq,sayangku
sayangkuh,sayangku
sayangkuuuuu,sayangku
sayangx,sayangnya
sayank,sayang
sayy,sayang
sayyy,say
sbab,sebab
sbabnya,sebabnya
sbagai,sebagai
sbaiknya,sebaiknya
sbaliknya,sebaliknya
sbb,sebab
sbbrnya,sebenarnya
sbbyak,sebanyak
sbelah,sebelah
sbelmnya,sebelumnya
sbelom,sebelum
sbelum,sebelum
sbenarnya,sebenarnya
sbenernya,sebenarnya
sbg,sebagai
sbgai,sebagai
sbgi,sebagai
sbgian,sebagian
sbgmn,sebagaimana
sbgmna,sebagaimana
sbh,sebuah
sbhabat,sahabat
sblah,sebelah
sblh,sebelah
sblm,sebelum
sblmny,sebelumnya
sblmnya,sebelumnya
sblom,sebelum
sblum,sebelum
sblumnya,sebelumnya
sbnarny,sebenarnya
sbnarnya,sebenarnya
sbnrny,sebenarnya
sbnrnya,sebenarnya
sbnyak,sebanyak
sbr,sabar
sbrp,seberapa
sbsr,sebesar
sbtkan,sebutkan
sbuah,sebuah
sby,surabaya
scara,secara
schedule,jadwal
scpatny,secepatnya
scptnya,secepatnya
scr,secara
scra,secara
sdah,sudah
sdangkan,sedangkan
sdara,saudara
sdg,sedang
sdgkan,sedangkan
sdgkn,sedangkan
sdh,sudah
sdhlah,sudahlah
sdhlh,sudahlah
sdkit,sedikit
sdkit2,sedikit sedikit
sdkt,sedekat
sdng,sedang
sdngkan,sedangkan
sdngkn,sedangkan
sdr,saudara
sdri,sendiri
se7,setuju
seabrek,banyak
seakn,seakan
seakrang,sekarang
seandainy,seandainya
sebagai mana,sebagaimana
"sebaik""",sebaik baik
sebaiknya,sebaiknya
sebangda,sebangsa
sebarin,sebarkan
sebelas dua belas,mirip
sebellll,kesal
sebelmnya,sebelumnya
sebelom,sebelum
sebelomnya,sebelumnya
sebelum2nya,sebelum sebelumnya
sebelumbya,sebelumnya
sebelumny,sebelumnya
sebelumx,sebelumnya
sebenernya,sebenarnya
sebgian,sebagian
sebh,sebuah
seblah,sebelah
seblh,sebelah
seblm,sebelum
seblmnya,sebelumnya
seblumnya,sebelumnya
sebnyak,sebanyak
sebrang,seberang
"seburuk""",seburuk buruk
seburuk2,seburuk buruk
sebutang,sebutan
sebwsar,sebesar
secra,secara
sedangkn,sedangkan
sedeehana,sederhana
sedia kala,sediakala
sedihh,sedih
sedihhh,sedih
sedikitlaahh,sedikitlah
sedkt,sedekat
sedng,sedang
see,sih
seeeemua,semua
seeh,sih
seehh,sih
seenggak,setidak
seenggaknya,setidaknya
"segala""ny",segala galanya
segala2nya,segala galanya
segede,sebesar
seger,segar
segerr,segar
segerrrr,segar
segitiga,segi tiga
segitunya,sebegitunya
segla,segala
segoblok,sebodoh
segtu,sebegitu
seh,sih
seharusny,seharusnya
sehat2,sehat sehat
sehh,sih
